Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,URL,LCSC ref
"R3,R4,R5,R6,R7,R8,R9,R10",0402WGF220JTCE,8,,
C15,0603B103K500NT,1,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0603B103K500NT_C57112.html,
"R11,R12,R13,R14,R15,R16,R17",0603WAF1002T5E,7,,
R1,0603WAF5600T5E,1,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0603WAF5600T5E_C23204.html,
J3,10029449-111RLF,1,https://www.lcsc.com/product-detail/D-Sub-DVI-HDMI-Connectors_Amphenol-ICC-10029449-111RLF_C427307.html,
"JAB1,JCD1",77313-824-64LF,2,,
C20,C0805X103K501T,1,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_IHHEC-HOLY-STONE-ENTERPRISE-CO-LTD-C0805X103K501T_C105950.html,
"C1,C2,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C17,C18,C19,C21,C22,C23,C24",CC0603KRX7R9BB104,20,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0603KRX7R9BB104_C14663.html,
"C3,C16",CL31A476MPHNNNE,2,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL31A476MPHNNNE_C96123.html,
J4,DW254W-22-12-85,1,,
R2,HR1206J1M00P05Z,1,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Ever-Ohms-Tech-HR1206J1M00P05Z_C175518.html,
D1,KT-0603R,1,,
"U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U13",SN74CB3T3245PWR,12,https://www.lcsc.com/product-detail/Signal-Switches-Encoders-Decoders-Multiplexers_Texas-Instruments-SN74CB3T3245PWR_C15298.html,
U14,SN74LV1T125DCKR,1,,
S1,SSAJ110100,1,,
U12,TPD12S016PWR,1,https://lcsc.com/product-detail/Interface-Specialized_Texas-Instruments-TPD12S016PWR_C201665.html,
