Designator,Mid X,Mid Y,Rotation,Layer
C1,74.0,-98.4,180.0,bottom
C10,64.5,-96.8,0.0,bottom
C100,145.75,-124.225,90.0,top
C102,119.0,-91.5,90.0,bottom
C103,121.5,-120.0,270.0,top
C106,60.25,-113.5,90.0,bottom
C107,148.04,-130.5,180.0,top
C108,142.5,-111.0,0.0,top
C11,64.5,-103.2,0.0,bottom
C110,43.0,-91.75,270.0,top
C111,45.5,-105.75,180.0,top
C112,65.25,-117.75,90.0,top
C113,87.75,-117.75,90.0,top
C114,110.25,-117.75,90.0,top
C115,130.25,-115.75,90.0,top
C116,37.75,-106.75,180.0,bottom
C117,124.75,-103.865,90.0,top
C118,127.105,-110.0,0.0,top
C119,114.65,-116.5,270.0,top
C12,72.88,-90.8,180.0,bottom
C120,92.0,-100.5,90.0,bottom
C121,94.0,-100.5,90.0,bottom
C122,93.0,-100.5,90.0,bottom
C123,60.25,-96.5,90.0,bottom
C124,41.5,-122.75,90.0,bottom
C125,142.5,-111.0,180.0,bottom
C13,64.5,-95.2,0.0,bottom
C14,64.5,-93.6,0.0,bottom
C143,49.23,-103.25,0.0,top
C15,64.25,-90.0,0.0,bottom
C16,74.0,-96.8,180.0,bottom
C17,64.5,-92.0,0.0,bottom
C18,69.5,-90.8,0.0,bottom
C19,75.225,-101.8,180.0,bottom
C2,74.0,-95.2,180.0,bottom
C20,90.5,-101.0,0.0,bottom
C21,89.5,-98.0,0.0,bottom
C22,93.0,-97.5,270.0,bottom
C23,95.5,-96.0,0.0,bottom
C24,92.5,-94.0,180.0,bottom
C25,95.5,-93.0,180.0,bottom
C26,95.5,-94.0,180.0,bottom
C27,94.0,-97.5,270.0,bottom
C28,84.5,-89.5,0.0,bottom
C29,60.5,-101.5,270.0,bottom
C3,74.0,-93.6,180.0,bottom
C30,65.0,-101.5,90.0,bottom
C31,90.5,-108.0,180.0,bottom
C32,92.5,-106.0,0.0,bottom
C33,92.5,-107.0,0.0,bottom
C34,95.0,-102.5,90.0,bottom
C35,92.0,-104.5,270.0,bottom
C36,90.485,-113.0,0.0,bottom
C37,99.0,-103.5,270.0,bottom
C38,100.5,-99.0,180.0,bottom
C39,90.485,-110.25,0.0,bottom
C4,71.92,-101.6,0.0,bottom
C40,92.0,-89.5,0.0,bottom
C41,98.5,-99.0,0.0,bottom
C42,99.5,-101.0,180.0,bottom
C43,100.0,-102.5,270.0,bottom
C44,101.0,-102.5,270.0,bottom
C45,98.0,-100.5,270.0,bottom
C46,96.0,-101.48,270.0,bottom
C47,106.5,-89.75,0.0,bottom
C48,95.0,-100.5,90.0,bottom
C49,95.5,-99.0,180.0,bottom
C5,69.8,-93.12,90.0,bottom
C50,95.5,-98.0,0.0,bottom
C51,97.0,-103.5,270.0,bottom
C52,97.5,-102.0,0.0,bottom
C53,98.0,-97.5,90.0,bottom
C54,99.0,-97.5,270.0,bottom
C55,100.0,-97.5,90.0,bottom
C56,100.0,-89.75,180.0,bottom
C57,96.5,-100.0,0.0,bottom
C58,98.0,-103.5,270.0,bottom
C59,99.5,-100.0,180.0,bottom
C6,69.8,-96.32,90.0,bottom
C60,101.0,-100.5,90.0,bottom
C61,101.0,-97.5,90.0,bottom
C62,103.5,-99.0,0.0,bottom
C63,103.5,-100.0,0.0,bottom
C64,100.0,-95.5,270.0,bottom
C65,102.5,-97.0,0.0,bottom
C66,102.0,-94.5,270.0,bottom
C67,105.5,-93.0,180.0,bottom
C68,99.0,-95.5,270.0,bottom
C69,107.25,-97.5,270.0,bottom
C7,68.5,-96.32,90.0,bottom
C70,100.0,-108.5,270.0,bottom
C71,101.5,-105.0,0.0,bottom
C72,95.5,-106.0,0.0,bottom
C73,96.0,-107.5,270.0,bottom
C74,103.0,-106.5,90.0,bottom
C75,99.5,-105.0,180.0,bottom
C76,101.5,-104.0,0.0,bottom
C77,106.25,-103.5,180.0,bottom
C78,103.5,-110.25,180.0,bottom
C79,118.8025,-96.6825,90.0,bottom
C8,68.5,-93.12,90.0,bottom
C80,120.6975,-96.3875,90.0,bottom
C81,109.5,-111.5,270.0,bottom
C82,111.0,-111.5,270.0,bottom
C83,115.0,-91.5,180.0,bottom
C84,115.0,-93.0,180.0,bottom
C85,53.5,-125.325,0.0,top
C86,44.3875,-121.5,90.0,top
C87,49.525,-95.5,0.0,top
C88,55.25,-93.75,270.0,top
C89,49.525,-111.5,0.0,top
C9,64.5,-98.4,0.0,bottom
C90,49.23,-119.25,0.0,top
C91,55.25,-109.75,270.0,top
C92,144.35,-96.5,180.0,bottom
C93,144.0,-99.25,0.0,bottom
C94,138.61,-106.5,0.0,top
C95,135.27,-104.25,180.0,top
C96,145.02,-106.75,180.0,top
C97,153.425,-92.0,0.0,bottom
C98,151.475,-122.475,180.0,top
C99,151.77,-114.725,180.0,top
D1,100.0,-122.0,270.0,top
D2,79.0,-122.5,270.0,top
D3,77.0,-122.5,270.0,top
D4,128.7625,-100.5,0.0,top
D5,128.7625,-98.5,0.0,top
D6,53.9,-121.5375,270.0,top
D7,54.5125,-99.5,0.0,top
D9,154.2125,-131.65,180.0,top
GRAPHIC1,121.6,-128.6,0.0,bottom
IC1,69.2,-97.6,0.0,top
IC3,66.5,-124.0,180.0,top
IC4,89.0,-124.0,180.0,top
IC5,111.5,-124.0,180.0,top
IC6,131.5,-122.0,180.0,top
J1,152.0,-103.0,90.0,top
J11,38.35,-114.25,270.0,top
J13,67.65,-108.25,90.0,top
J2,98.47,-139.4325,0.0,top
J3,39.105,-96.775,0.0,top
J4,141.5,-92.2875,180.0,top
J5,33.25,-123.0625,0.0,top
L1,50.3,-108.25,0.0,top
L2,150.7,-125.725,180.0,top
L8,50.3,-92.25,0.0,top
PWRCTRLRESET1,80.75,-111.25,180.0,bottom
Q1,100.0,-118.95,90.0,top
Q2,79.0,-119.5,90.0,top
Q3,77.0,-119.5,90.0,top
Q4,125.7625,-100.5,180.0,top
Q5,125.7625,-98.5,180.0,top
Q6,51.75,-120.75,180.0,top
Q7,53.725,-101.65,270.0,top
Q9,155.0,-129.5,90.0,top
R1,74.0,-99.6,180.0,bottom
R10,66.75,-112.75,0.0,top
R11,116.905,-106.65,270.0,bottom
R12,110.0,-97.0,180.0,bottom
R13,110.0,-99.8,180.0,bottom
R14,110.0,-102.2,180.0,bottom
R15,110.0,-103.4,180.0,bottom
R16,110.0,-101.0,180.0,bottom
R17,114.365,-106.65,270.0,bottom
R18,119.25,-99.0,180.0,bottom
R19,97.5,-106.0,0.0,bottom
R2,69.5,-100.5,0.0,bottom
R20,102.0,-101.5,90.0,bottom
R21,104.0,-103.5,270.0,bottom
R22,109.815,-105.0,180.0,bottom
R23,108.0,-92.175,180.0,bottom
R24,50.25,-127.75,180.0,top
R25,44.75,-129.0,270.0,top
R26,46.0,-129.0,270.0,top
R27,47.25,-129.0,270.0,top
R28,49.26,-102.0,0.0,top
R29,49.26,-100.75,180.0,top
R3,64.5,-99.7,0.0,bottom
R30,49.26,-118.0,0.0,top
R31,153.4375,-92.0,180.0,top
R32,49.26,-116.75,180.0,top
R33,151.74,-115.975,180.0,top
R34,151.74,-117.225,0.0,top
R35,100.0,-125.0,270.0,top
R36,79.0,-125.5,270.0,top
R37,77.0,-125.5,270.0,top
R38,86.5,-105.0,180.0,bottom
R39,86.0,-103.75,180.0,bottom
R4,61.75,-101.5,270.0,bottom
R40,93.5,-96.0,0.0,bottom
R41,131.7625,-100.5,0.0,top
R42,95.5,-95.0,180.0,bottom
R43,131.7625,-98.5,0.0,top
R44,69.75,-98.8,90.0,bottom
R45,48.75,-120.55,0.0,top
R46,51.75,-122.325,180.0,top
R47,53.5,-104.65,90.0,top
R48,55.3,-101.65,270.0,top
R49,115.5,-95.0,0.0,bottom
R5,63.75,-101.5,90.0,bottom
R50,155.225,-126.5,270.0,top
R51,153.425,-129.5,90.0,top
R52,107.0,-112.0,180.0,bottom
R53,103.5,-108.0,0.0,bottom
R6,97.0,-96.49,90.0,bottom
R7,64.25,-111.25,0.0,top
R8,64.25,-112.75,0.0,top
R9,66.75,-111.25,0.0,top
U1,97.5,-100.5,0.0,top
U11,49.0,-98.475,90.0,top
U12,49.0,-114.475,90.0,top
U13,152.0,-119.5,270.0,top
U2,115.0,-100.75,0.0,bottom
U3,141.0,-101.325,270.0,top
U4,46.5,-125.0,0.0,top
U5,129.25,-106.25,180.0,top
U7,114.0,-113.5,270.0,top
X1,109.5,-108.0,90.0,bottom
X2,111.5,-93.0,0.0,bottom
